"id","json","survey_id","user_id","time_spent","ip_address","is_completed","created_at","updated_at","is_manual","respondent_name","weblink_link_id","emaillink_link_id","emaillink_contact_id"
"86","{""question1"":[""item1"",""item3"",""item2""],""question2"":""question 2566111""}","85","095ff2de-50ce-11eb-a07c-bf277141b12d","31","188.43.136.32","t","14/1/2021 08:01:51.496181-08:08","14/1/2021 08:09:30.469736-08:08","f",,,,
"87","{""question1"":[""item2""]}","85","095ff2de-50ce-11eb-a07c-bf277141b12d","1","188.43.136.32","f","14/1/2021 08:09:44.507008-08:08","14/1/2021 08:11:35.347192-08:08","f",,,,
"88","{""question2"":""aaaaaaaa"",""question1"":[""item1"",""item3"",""item2""]}","85","095ff2de-50ce-11eb-a07c-bf277141b12d","80","188.43.136.32","t","14/1/2021 07:01:26.330183-08:08","14/1/2021 07:54:51.217687-08:08","f",,,,
"89","{""question1"":[""item1"",""item3""],""question2"":""question2 answer""}","85","095ff2de-50ce-11eb-a07c-bf277141b12d","24","188.43.136.32","t","14/1/2021 08:01:15.422825-08:08","14/1/2021 08:01:41.562801-08:08","f",,,,
"92","{""question1"":[""item1"",""item3"",""item2""],""question2"":""question 2566111""}","91","095ff2de-50ce-11eb-a07c-bf277141b12d","31","188.43.136.32","t","14/1/2021 08:01:51.496181-08:08","14/1/2021 08:09:30.469736-08:08","f",,,,
"93","{""question1"":[""item2""]}","91","095ff2de-50ce-11eb-a07c-bf277141b12d","1","188.43.136.32","f","14/1/2021 08:09:44.507008-08:08","14/1/2021 08:11:35.347192-08:08","f",,,,
"95","{""question1"":[""item1"",""item3""],""question2"":""question2 answer""}","91","095ff2de-50ce-11eb-a07c-bf277141b12d","24","188.43.136.32","t","14/1/2021 08:01:15.422825-08:08","14/1/2021 08:01:41.562801-08:08","f",,,,
"98","{""question1"":[""item1"",""item3"",""item2""],""question2"":""question 2566111""}","97","095ff2de-50ce-11eb-a07c-bf277141b12d","31","188.43.136.32","t","14/1/2021 08:01:51.496181-08:08","14/1/2021 08:09:30.469736-08:08","f",,,,
"99","{""question1"":[""item2""]}","97","095ff2de-50ce-11eb-a07c-bf277141b12d","1","188.43.136.32","f","14/1/2021 08:09:44.507008-08:08","14/1/2021 08:11:35.347192-08:08","f",,,,
"12","{""question1"":""ded"",""question8"":6}","157","095ff2de-50ce-11eb-a07c-bf277141b12d","13","188.43.136.32","t","14/6/2021 22:39:06.6691-07:07","14/6/2021 22:39:21.005252-07:07","f",,,,
"14","{""question8"":10}","157","095ff2de-50ce-11eb-a07c-bf277141b12d","60","188.43.136.32","t","14/6/2021 23:06:29.548017-07:07","14/6/2021 23:07:31.095393-07:07","f",,,,
"17","{""question8"":10}","157","095ff2de-50ce-11eb-a07c-bf277141b12d","0","188.43.136.32","t","14/6/2021 23:27:19.873281-07:07","14/6/2021 23:27:59.139413-07:07","f",,,,
"20","{""question8"":10}","157","095ff2de-50ce-11eb-a07c-bf277141b12d","6","188.43.136.32","t","14/6/2021 23:36:05.152112-07:07","14/6/2021 23:36:14.909884-07:07","f",,,,
"24","{""question8"":6}","157","095ff2de-50ce-11eb-a07c-bf277141b12d","0","188.43.136.32","t","14/6/2021 23:42:09.905483-07:07","14/6/2021 23:47:30.420773-07:07","f",,,,
"25","{""question8"":8}","14","095ff2de-50ce-11eb-a07c-bf277141b12d","0","188.43.136.32","t","14/1/2021 08:09:44.507008-08:08","14/6/2021 23:58:49.838385-07:07","f",,,,
"27","{""question8"":6}","157","095ff2de-50ce-11eb-a07c-bf277141b12d","0","188.43.136.32","t","15/6/2021 00:16:37.07039-07:07","15/6/2021 00:24:48.474846-07:07","f",,,,
"30","{""question8"":6}","157","095ff2de-50ce-11eb-a07c-bf277141b12d","5","188.43.136.32","t","15/6/2021 00:30:21.715337-07:07","15/6/2021 00:31:15.834063-07:07","f",,,,
"33","{""question8"":6}","157","095ff2de-50ce-11eb-a07c-bf277141b12d","8","188.43.136.32","t","15/6/2021 01:01:58.081319-07:07","15/6/2021 01:33:17.044326-07:07","f",,,,
"36","{""question8"":8}","157","095ff2de-50ce-11eb-a07c-bf277141b12d","5","188.43.136.32","t","15/6/2021 01:43:44.413631-07:07","15/6/2021 01:44:29.795801-07:07","f",,,,
"39","{""question8"":8}","157","095ff2de-50ce-11eb-a07c-bf277141b12d","3","188.43.136.32","t","15/6/2021 02:13:02.818462-07:07","15/6/2021 02:13:51.305924-07:07","f",,,,
"106","{""question7"":5,""question8"":6}","103","095ff2de-50ce-11eb-a07c-bf277141b12d","0","188.43.136.32","t","14/1/2021 07:01:26.330183-08:08","1/7/2021 17:15:06.434974-07:07","f",,,,
"94","{""question8"":8}","91","095ff2de-50ce-11eb-a07c-bf277141b12d","0","188.43.136.32","t","14/1/2021 07:01:26.330183-08:08","1/7/2021 16:41:09.240533-07:07","f",,,,
"100","{""question8"":4}","97","095ff2de-50ce-11eb-a07c-bf277141b12d","6","188.43.136.32","t","14/1/2021 07:01:26.330183-08:08","1/7/2021 16:46:49.409346-07:07","f",,,,
"101","{""question8"":4}","97","095ff2de-50ce-11eb-a07c-bf277141b12d","5","188.43.136.32","t","14/1/2021 08:01:15.422825-08:08","1/7/2021 16:47:00.152005-07:07","f",,,,
"104","{""question8"":6}","103","095ff2de-50ce-11eb-a07c-bf277141b12d","7","188.43.136.32","t","14/1/2021 08:01:51.496181-08:08","1/7/2021 17:03:29.562325-07:07","f",,,,
"105","{""question8"":4,""question1"":""rrrr"",""question2"":""item1"",""question4"":""lion""}","103","095ff2de-50ce-11eb-a07c-bf277141b12d","0","188.43.136.32","t","14/1/2021 08:09:44.507008-08:08","1/7/2021 17:12:10.845823-07:07","f",,,,
"112","{""question8"":4}","109","095ff2de-50ce-11eb-a07c-bf277141b12d","4","188.43.136.32","t","14/1/2021 07:01:26.330183-08:08","1/7/2021 17:43:15.701792-07:07","f",,,,
